,value
1/8/2016,0.23
1/9/2016,0.05
1/10/2016,0.74
1/11/2016,0.585
1/12/2016,0.43
1/13/2016,0.275
1/14/2016,0.12
1/15/2016,0.1
1/16/2016,0.07
1/17/2016,0.07
1/18/2016,0.07
1/19/2016,0.07
1/20/2016,0.07
1/21/2016,0.07
1/22/2016,0.07
1/23/2016,0.07
1/24/2016,0.07
1/25/2016,0.07
1/26/2016,0.06
1/27/2016,0.05
1/28/2016,0.04
1/29/2016,0.03
1/30/2016,0.02
1/31/2016,0.04
2/1/2016,0.06
2/2/2016,0.275
2/3/2016,0.49
2/4/2016,0.398
2/5/2016,0.306
2/6/2016,0.214
2/7/2016,0.122
2/8/2016,0.03
2/9/2016,0.01
2/10/2016,0.075
2/11/2016,0.14
2/12/2016,0.205
2/13/2016,0.27
2/14/2016,0.335
2/15/2016,0.4
2/16/2016,1.29
2/17/2016,0.65
2/18/2016,0.01
2/19/2016,0.223333333
2/20/2016,0.436666667
2/21/2016,0.65
2/22/2016,0.863333333
2/23/2016,1.076666667
2/24/2016,1.29
2/25/2016,0.11
2/26/2016,0.11
2/27/2016,0.11
2/28/2016,0.11
2/29/2016,0.11
3/1/2016,0.29
3/2/2016,0.01
3/3/2016,0.06
3/4/2016,0.11
3/5/2016,0.178333333
3/6/2016,0.246666667
3/7/2016,0.315
3/8/2016,0.383333333
3/9/2016,0.451666667
3/10/2016,0.52
3/11/2016,0.12
3/12/2016,0.195
3/13/2016,0.27
3/14/2016,0.36
3/15/2016,0.01
3/16/2016,0.015
3/17/2016,0.02
3/18/2016,0.025
3/19/2016,0.03
3/20/2016,0.01
3/21/2016,0.05
3/22/2016,0.056666667
3/23/2016,0.063333333
3/24/2016,0.07
3/25/2016,0.16
3/26/2016,0.213333333
3/27/2016,0.266666667
3/28/2016,0.32
3/29/2016,0.01
3/30/2016,0.02
3/31/2016,0.03
4/1/2016,0.04
4/2/2016,0.19
4/3/2016,0.01
4/4/2016,0.17
4/5/2016,0.263333333
4/6/2016,0.356666667
4/7/2016,0.45
4/8/2016,0.04
4/9/2016,0.1
4/10/2016,0.01
4/11/2016,0.62
4/12/2016,0.04
4/13/2016,0.053
4/14/2016,0.066
4/15/2016,0.079
4/16/2016,0.092
4/17/2016,0.105
4/18/2016,0.118
4/19/2016,0.131
4/20/2016,0.144
4/21/2016,0.157
4/22/2016,0.17
4/23/2016,0.01
4/24/2016,0.066666667
4/25/2016,0.123333333
4/26/2016,0.18
4/27/2016,0.245
4/28/2016,0.31
4/29/2016,0.22
4/30/2016,0.13
5/1/2016,0.35
5/2/2016,0.64
5/3/2016,0.37
5/4/2016,0.1
5/5/2016,0.14
5/6/2016,0.03
5/7/2016,0.03
5/8/2016,0.02
5/9/2016,0.21
5/10/2016,0.4
5/11/2016,0.01
5/12/2016,0.52
5/13/2016,0.17
5/14/2016,0.37
5/15/2016,0.3525
5/16/2016,0.335
5/17/2016,0.3175
5/18/2016,0.3
5/19/2016,0.16
5/20/2016,0.02
5/21/2016,1.17
5/22/2016,0.36
5/23/2016,0.01
5/24/2016,0.1
5/25/2016,0.19
5/26/2016,0.28
5/27/2016,0.37
5/28/2016,0.46
5/29/2016,0.55
5/30/2016,0.4375
5/31/2016,0.325
6/1/2016,0.2125
6/2/2016,0.1
6/3/2016,0.48
6/4/2016,0.325
6/5/2016,0.17
6/6/2016,0.34
6/7/2016,0.325555556
6/8/2016,0.311111111
6/9/2016,0.296666667
6/10/2016,0.282222222
6/11/2016,0.267777778
6/12/2016,0.253333333
6/13/2016,0.238888889
6/14/2016,0.224444444
6/15/2016,0.21
6/16/2016,1.73
6/17/2016,0.04
6/18/2016,0.128333333
6/19/2016,0.216666667
6/20/2016,0.305
6/21/2016,0.393333333
6/22/2016,0.481666667
6/23/2016,0.57
6/24/2016,0.5275
6/25/2016,0.485
6/26/2016,0.4425
6/27/2016,0.4
6/28/2016,0.3575
6/29/2016,0.315
6/30/2016,0.2725
7/1/2016,0.23
7/2/2016,0.196666667
7/3/2016,0.163333333
7/4/2016,0.13
7/5/2016,0.11
7/6/2016,0.31
7/7/2016,0.1
7/8/2016,0.115714286
7/9/2016,0.131428571
7/10/2016,0.147142857
7/11/2016,0.162857143
7/12/2016,0.178571429
7/13/2016,0.194285714
7/14/2016,0.21
7/15/2016,0.16
7/16/2016,0.11
7/17/2016,0.06
7/18/2016,0.01
7/19/2016,0.215
7/20/2016,0.42
7/21/2016,0.625
7/22/2016,0.83
7/23/2016,0.41
7/24/2016,0.4
7/25/2016,0.4275
7/26/2016,0.455
7/27/2016,0.4825
7/28/2016,0.51
7/29/2016,0.01
7/30/2016,1.07
7/31/2016,0.795
8/1/2016,0.52
8/2/2016,0.472
8/3/2016,0.424
8/4/2016,0.376
8/5/2016,0.328
8/6/2016,0.28
8/7/2016,0.196666667
8/8/2016,0.113333333
8/9/2016,0.03
8/10/2016,0.66

